epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5979,0.98547,1.26305,0.91884,0.66057,0.58758,0.63655,0.41798,0.90212,1.30572,0.91554,0.000411111,0.000411111,0.000411111
2,59.1179,1.0048,0.90265,0.92483,0.38168,0.52451,0.37248,0.23315,1.02781,2.22231,0.9548,0.000819583,0.000819583,0.000819583
3,86.5,1.12508,0.88227,0.94068,0.60218,0.68849,0.65231,0.39134,0.95712,0.77194,0.93297,0.0012198,0.0012198,0.0012198
4,114.125,1.03181,0.76556,0.93587,0.78986,0.71113,0.74962,0.46136,0.9849,0.63743,0.94308,0.00121287,0.00121287,0.00121287
5,142.063,0.99075,0.66995,0.93636,0.80145,0.70743,0.76219,0.50684,0.837,0.60569,0.9152,0.0012005,0.0012005,0.0012005
6,170.035,0.91359,0.61904,0.9098,0.743,0.68828,0.76671,0.51082,0.86162,0.57431,0.91297,0.00118812,0.00118812,0.00118812
7,198.018,0.88462,0.5796,0.90089,0.75118,0.7428,0.76077,0.50722,0.84371,0.59543,0.9095,0.00117575,0.00117575,0.00117575
8,225.964,0.91499,0.6195,0.90476,0.82067,0.82014,0.83296,0.56158,0.86353,0.52734,0.90072,0.00116337,0.00116337,0.00116337
9,255.76,0.90807,0.57421,0.89655,0.89263,0.79217,0.85021,0.56501,0.82438,0.52868,0.8968,0.001151,0.001151,0.001151
10,283.83,0.85683,0.53829,0.89783,0.89588,0.78118,0.85565,0.58235,0.79996,0.48497,0.89037,0.00113863,0.00113863,0.00113863
11,311.801,0.87007,0.51722,0.89048,0.84497,0.79873,0.84185,0.57924,0.82421,0.51745,0.90228,0.00112625,0.00112625,0.00112625
12,339.641,0.84296,0.50145,0.89494,0.80371,0.77468,0.81534,0.55066,0.81915,0.49322,0.89188,0.00111388,0.00111388,0.00111388
13,368.223,0.81991,0.47917,0.88487,0.77003,0.78886,0.76532,0.5425,0.77575,0.52447,0.87914,0.0011015,0.0011015,0.0011015
14,395.934,0.82926,0.47829,0.87941,0.82773,0.84083,0.8488,0.57555,0.8164,0.47005,0.8875,0.00108913,0.00108913,0.00108913
15,424.471,0.85365,0.48257,0.87536,0.78956,0.80953,0.84711,0.58459,0.77765,0.43956,0.87798,0.00107675,0.00107675,0.00107675
16,452.919,0.86086,0.46338,0.88098,0.85321,0.80905,0.85096,0.59959,0.75673,0.43411,0.87722,0.00106437,0.00106437,0.00106437
17,481.003,0.81551,0.454,0.87926,0.88925,0.82639,0.87205,0.61349,0.76297,0.41029,0.87762,0.001052,0.001052,0.001052
18,508.889,0.81858,0.47546,0.88032,0.90587,0.82348,0.87054,0.60077,0.81339,0.44387,0.89248,0.00103962,0.00103962,0.00103962
19,536.611,0.79292,0.45316,0.8734,0.87007,0.79076,0.86057,0.60159,0.77671,0.43428,0.87624,0.00102725,0.00102725,0.00102725
20,564.336,0.78321,0.43856,0.86803,0.84779,0.82605,0.87383,0.61269,0.74571,0.40115,0.87079,0.00101488,0.00101488,0.00101488
21,591.955,0.77572,0.42319,0.86275,0.77579,0.84862,0.87615,0.61309,0.76013,0.43237,0.86949,0.0010025,0.0010025,0.0010025
22,620.031,0.77299,0.4286,0.85687,0.91085,0.82782,0.88746,0.62064,0.73901,0.39733,0.87181,0.000990125,0.000990125,0.000990125
23,648.135,0.74644,0.40581,0.85034,0.87674,0.82495,0.87482,0.63175,0.73686,0.39653,0.86904,0.00097775,0.00097775,0.00097775
24,676.235,0.77259,0.41176,0.85715,0.87872,0.8239,0.8676,0.5932,0.83126,0.42229,0.88385,0.000965375,0.000965375,0.000965375
25,704.124,0.78632,0.41261,0.86092,0.89489,0.81702,0.85949,0.62108,0.75013,0.40338,0.87598,0.000953,0.000953,0.000953
26,731.656,0.7897,0.42258,0.86288,0.94037,0.83271,0.89174,0.62954,0.74018,0.38819,0.87143,0.000940625,0.000940625,0.000940625
27,759.409,0.77055,0.41415,0.86323,0.9316,0.84362,0.89709,0.63035,0.79556,0.42651,0.89208,0.00092825,0.00092825,0.00092825
28,787.387,0.79979,0.43284,0.86044,0.90614,0.87315,0.89742,0.62013,0.7784,0.39613,0.87579,0.000915875,0.000915875,0.000915875
29,815.041,0.75986,0.39929,0.85281,0.88842,0.8628,0.89848,0.63373,0.72686,0.37766,0.87312,0.0009035,0.0009035,0.0009035
30,843.252,0.72016,0.38594,0.85061,0.91166,0.83606,0.88044,0.62609,0.73429,0.38414,0.86482,0.000891125,0.000891125,0.000891125
31,870.713,0.72119,0.38482,0.85364,0.8783,0.85555,0.88592,0.63119,0.74166,0.39218,0.86787,0.00087875,0.00087875,0.00087875
32,898.89,0.72436,0.38677,0.84688,0.91742,0.82148,0.88127,0.63195,0.7403,0.38,0.86927,0.000866375,0.000866375,0.000866375
33,927.962,0.74015,0.38751,0.85487,0.89573,0.82938,0.88346,0.62777,0.7373,0.37626,0.87609,0.000854,0.000854,0.000854
34,955.916,0.72041,0.37723,0.84436,0.846,0.85018,0.86832,0.62801,0.74204,0.38212,0.87886,0.000841625,0.000841625,0.000841625
35,999.01,0.71857,0.38006,0.84803,0.87504,0.86047,0.88231,0.62797,0.75715,0.38865,0.87911,0.00082925,0.00082925,0.00082925
36,1026.87,0.73757,0.38848,0.85098,0.88469,0.83543,0.88318,0.62549,0.74692,0.40073,0.87359,0.000816875,0.000816875,0.000816875
37,1056.14,0.74563,0.39654,0.85114,0.82458,0.84324,0.87796,0.62036,0.73354,0.39666,0.87229,0.0008045,0.0008045,0.0008045
38,1086.14,0.71612,0.38095,0.85039,0.91073,0.8576,0.90329,0.64964,0.73821,0.37463,0.87682,0.000792125,0.000792125,0.000792125
39,1116.13,0.7178,0.37557,0.85754,0.88819,0.85771,0.90006,0.63882,0.74028,0.37572,0.87716,0.00077975,0.00077975,0.00077975
40,1161.36,0.71202,0.37589,0.8404,0.86977,0.86036,0.88816,0.62853,0.7438,0.36599,0.88072,0.000767375,0.000767375,0.000767375
41,1189.83,0.709,0.37065,0.84326,0.91738,0.84247,0.90318,0.64673,0.71734,0.35377,0.86832,0.000755,0.000755,0.000755
42,1219.02,0.70693,0.36589,0.84136,0.92888,0.8615,0.89669,0.63223,0.75052,0.37787,0.87522,0.000742625,0.000742625,0.000742625
43,1248.2,0.72708,0.37526,0.84584,0.86975,0.87871,0.88729,0.63722,0.7429,0.37842,0.87459,0.00073025,0.00073025,0.00073025
44,1277.91,0.70538,0.3659,0.84751,0.87916,0.86405,0.89391,0.64257,0.72906,0.3767,0.87269,0.000717875,0.000717875,0.000717875
45,1307.55,0.69899,0.3686,0.83421,0.93045,0.85064,0.90261,0.64708,0.73057,0.36541,0.8714,0.0007055,0.0007055,0.0007055
46,1337.35,0.68134,0.35217,0.83759,0.85929,0.88657,0.90284,0.64539,0.72034,0.3554,0.87564,0.000693125,0.000693125,0.000693125
47,1368.11,0.68175,0.34549,0.83974,0.874,0.87097,0.89338,0.63465,0.71573,0.35284,0.87184,0.00068075,0.00068075,0.00068075
48,1396.64,0.68046,0.34386,0.83605,0.91021,0.86344,0.91011,0.65867,0.70365,0.34176,0.87296,0.000668375,0.000668375,0.000668375
49,1426.71,0.66702,0.33812,0.83448,0.94446,0.85674,0.91144,0.65595,0.74419,0.34731,0.87354,0.000656,0.000656,0.000656
50,1459.72,0.69043,0.34815,0.83177,0.90622,0.85914,0.8989,0.65666,0.72235,0.35231,0.87614,0.000643625,0.000643625,0.000643625
51,1489.03,0.68982,0.34661,0.83734,0.92524,0.86043,0.89286,0.64486,0.74228,0.35287,0.87906,0.00063125,0.00063125,0.00063125
52,1518.82,0.69817,0.34322,0.83729,0.93682,0.85241,0.90702,0.6518,0.72129,0.34574,0.87396,0.000618875,0.000618875,0.000618875
53,1546.98,0.71861,0.34606,0.84155,0.92254,0.86803,0.90341,0.6251,0.80359,0.38559,0.89214,0.0006065,0.0006065,0.0006065
54,1575.49,0.70806,0.34949,0.83904,0.91786,0.88187,0.90484,0.64051,0.73185,0.35299,0.87729,0.000594125,0.000594125,0.000594125
55,1605.18,0.69929,0.35386,0.84185,0.92342,0.84205,0.89488,0.63964,0.73227,0.35983,0.8785,0.00058175,0.00058175,0.00058175
56,1641.48,0.67266,0.33688,0.83489,0.92461,0.858,0.89034,0.63981,0.71979,0.34482,0.87667,0.000569375,0.000569375,0.000569375
57,1670.69,0.67895,0.33588,0.83825,0.90544,0.84906,0.886,0.60771,0.80169,0.38676,0.89696,0.000557,0.000557,0.000557
58,1698.16,0.68313,0.34565,0.83449,0.91217,0.84106,0.89251,0.62774,0.73034,0.36319,0.87774,0.000544625,0.000544625,0.000544625
59,1725.98,0.65072,0.33577,0.83041,0.90662,0.851,0.89342,0.63228,0.72402,0.35091,0.87485,0.00053225,0.00053225,0.00053225
60,1754.11,0.64902,0.32865,0.83496,0.89212,0.85246,0.89938,0.63177,0.72078,0.35109,0.87018,0.000519875,0.000519875,0.000519875
61,1781.84,0.65822,0.33352,0.8317,0.91585,0.8763,0.9065,0.64212,0.734,0.35429,0.87728,0.0005075,0.0005075,0.0005075
62,1809.67,0.66608,0.33919,0.83643,0.89632,0.87308,0.90949,0.64223,0.72963,0.35323,0.87622,0.000495125,0.000495125,0.000495125
63,1837.14,0.64383,0.32986,0.82908,0.90444,0.87181,0.90715,0.63886,0.73296,0.36283,0.87782,0.00048275,0.00048275,0.00048275
64,1873.54,0.64139,0.32391,0.83303,0.90767,0.85843,0.9019,0.6426,0.7092,0.35216,0.8689,0.000470375,0.000470375,0.000470375
65,1905.25,0.64817,0.32362,0.83091,0.92648,0.85645,0.90333,0.63996,0.71966,0.34688,0.87619,0.000458,0.000458,0.000458
66,1936.03,0.63016,0.31709,0.82853,0.8582,0.84909,0.86758,0.63191,0.70932,0.37678,0.87467,0.000445625,0.000445625,0.000445625
67,1964.23,0.62362,0.31553,0.8284,0.9402,0.85161,0.89805,0.644,0.72144,0.34919,0.8712,0.00043325,0.00043325,0.00043325
68,1995.41,0.63924,0.32277,0.82691,0.9024,0.85865,0.88228,0.63414,0.71587,0.35191,0.87659,0.000420875,0.000420875,0.000420875
69,2025.98,0.64477,0.32571,0.82678,0.91059,0.84871,0.88761,0.63604,0.72892,0.35709,0.87747,0.0004085,0.0004085,0.0004085
70,2055.31,0.62493,0.31238,0.83311,0.92493,0.86223,0.89562,0.64901,0.73177,0.34105,0.8772,0.000396125,0.000396125,0.000396125
71,2084.79,0.63749,0.31565,0.82474,0.92187,0.86715,0.89807,0.6443,0.71848,0.35199,0.87611,0.00038375,0.00038375,0.00038375
72,2113.28,0.62542,0.31081,0.82724,0.92668,0.86247,0.90589,0.66032,0.70481,0.32866,0.87416,0.000371375,0.000371375,0.000371375
73,2145,0.61658,0.30346,0.82583,0.90575,0.86504,0.88963,0.63684,0.71519,0.34271,0.87672,0.000359,0.000359,0.000359
74,2176.08,0.60688,0.305,0.82271,0.89112,0.87315,0.89178,0.62889,0.72119,0.34126,0.88313,0.000346625,0.000346625,0.000346625
75,2205.73,0.61066,0.30167,0.82463,0.91503,0.86848,0.89602,0.63367,0.71606,0.33445,0.87772,0.00033425,0.00033425,0.00033425
76,2241.1,0.61206,0.29668,0.82789,0.92668,0.84128,0.89451,0.65042,0.70812,0.3343,0.87623,0.000321875,0.000321875,0.000321875
77,2270.14,0.61088,0.30034,0.82141,0.92886,0.86854,0.90356,0.65185,0.71416,0.32767,0.87596,0.0003095,0.0003095,0.0003095
78,2301.26,0.5966,0.29205,0.82235,0.93342,0.86711,0.91041,0.65924,0.72176,0.32746,0.87858,0.000297125,0.000297125,0.000297125
79,2331.9,0.59752,0.29401,0.82208,0.93612,0.86179,0.90743,0.66019,0.7252,0.33467,0.87972,0.00028475,0.00028475,0.00028475
80,2365.46,0.60331,0.29736,0.81984,0.91134,0.84731,0.88278,0.64864,0.71247,0.33101,0.87922,0.000272375,0.000272375,0.000272375
81,2394.67,0.60133,0.29658,0.82616,0.93108,0.8578,0.89297,0.64878,0.70941,0.33195,0.87654,0.00026,0.00026,0.00026
82,2424.12,0.60316,0.29437,0.82067,0.93878,0.84803,0.89946,0.64259,0.71876,0.3329,0.87604,0.000247625,0.000247625,0.000247625
83,2453.78,0.61244,0.30233,0.82055,0.89244,0.87122,0.88591,0.64254,0.71271,0.34091,0.87203,0.00023525,0.00023525,0.00023525
84,2483.65,0.586,0.28931,0.81886,0.96016,0.86375,0.91724,0.65986,0.70196,0.32544,0.86989,0.000222875,0.000222875,0.000222875
85,2515.4,0.59532,0.28867,0.8217,0.93859,0.8676,0.91587,0.66597,0.71316,0.32262,0.87694,0.0002105,0.0002105,0.0002105
86,2547.11,0.58193,0.28464,0.82146,0.91627,0.88136,0.91361,0.66969,0.7129,0.32299,0.88008,0.000198125,0.000198125,0.000198125
87,2575.99,0.595,0.29065,0.81837,0.92655,0.89352,0.91266,0.66528,0.70472,0.32099,0.87853,0.00018575,0.00018575,0.00018575
88,2605.32,0.58667,0.28348,0.81727,0.94611,0.86672,0.91557,0.66649,0.70344,0.31702,0.87792,0.000173375,0.000173375,0.000173375
89,2636.35,0.57492,0.27972,0.82236,0.96199,0.87147,0.92028,0.66521,0.71324,0.32133,0.87544,0.000161,0.000161,0.000161
90,2666.83,0.58955,0.28443,0.81802,0.93609,0.87684,0.91692,0.6663,0.70397,0.31599,0.87286,0.000148625,0.000148625,0.000148625
91,2698.15,0.55718,0.2698,0.8216,0.92827,0.87881,0.91457,0.65402,0.70555,0.31926,0.87623,0.00013625,0.00013625,0.00013625
92,2725.61,0.54631,0.26369,0.81537,0.93512,0.88148,0.9144,0.66371,0.69563,0.30971,0.87151,0.000123875,0.000123875,0.000123875
93,2752.89,0.54123,0.25985,0.81406,0.92233,0.87616,0.91361,0.6544,0.70221,0.31341,0.87424,0.0001115,0.0001115,0.0001115
94,2780.37,0.53399,0.25506,0.81357,0.9311,0.86537,0.9093,0.65882,0.70913,0.31458,0.87504,9.9125e-05,9.9125e-05,9.9125e-05
95,2807.77,0.52731,0.25317,0.81329,0.9235,0.87366,0.90484,0.66159,0.70072,0.30933,0.8767,8.675e-05,8.675e-05,8.675e-05
96,2835.02,0.52338,0.24882,0.81558,0.94324,0.88056,0.91985,0.66406,0.70464,0.31122,0.87857,7.4375e-05,7.4375e-05,7.4375e-05
97,2862.53,0.52283,0.24851,0.81315,0.95678,0.86881,0.91992,0.65815,0.69986,0.30826,0.87805,6.2e-05,6.2e-05,6.2e-05
98,2889.99,0.5166,0.24459,0.81363,0.96349,0.87379,0.91752,0.65837,0.70424,0.31161,0.87986,4.9625e-05,4.9625e-05,4.9625e-05
99,2917.37,0.51376,0.24406,0.81313,0.95016,0.86444,0.90606,0.65608,0.70248,0.31219,0.88004,3.725e-05,3.725e-05,3.725e-05
100,2944.77,0.51531,0.24401,0.81289,0.94958,0.87144,0.90217,0.65304,0.70158,0.31157,0.87837,2.4875e-05,2.4875e-05,2.4875e-05
